epsilon,simNums,times,chosenArms,rewards,cumulativeRewards
0.1,2,28,4,1,11
0.1,2,29,4,1,12
0.1,2,30,0,0,12
0.1,2,31,1,0,12
0.1,2,32,4,1,13
0.1,2,33,4,1,14
0.1,2,34,4,1,15
0.1,2,35,4,1,16
0.1,2,36,4,0,16
0.1,2,37,4,1,17
0.1,2,38,4,1,18
0.1,2,39,2,0,18
0.1,2,40,3,0,18
0.1,2,41,4,1,19
0.1,2,42,4,1,20
0.1,2,43,4,1,21
0.1,2,44,4,1,22
0.1,2,45,4,1,23
0.1,2,46,4,1,24
0.1,2,47,4,1,25
0.1,2,48,0,0,25
0.1,2,49,1,0,25
0.1,2,50,4,1,26
0.1,2,51,4,1,27
0.1,2,52,4,1,28
0.1,2,53,4,1,29
0.1,2,54,4,1,30
0.1,2,55,4,1,31
0.1,2,56,4,1,32
0.1,2,57,4,0,32
0.1,2,58,4,1,33
0.1,2,59,4,1,34
0.1,2,60,4,1,35
0.1,2,61,2,0,35
0.1,2,62,3,0,35
0.1,2,63,4,1,36
0.1,2,64,4,1,37
0.1,2,65,4,1,38
0.1,2,66,4,1,39
0.1,2,67,4,1,40
0.1,2,68,4,1,41
0.1,2,69,4,1,42
0.1,2,70,4,1,43
0.1,2,71,4,1,44
0.1,2,72,4,1,45
0.1,2,73,4,0,45
0.1,2,74,0,0,45
0.1,2,75,1,0,45
0.1,2,76,4,1,46
0.1,2,77,4,1,47
0.1,2,78,4,1,48
0.1,2,79,4,1,49
0.1,2,80,4,1,50
0.1,2,81,4,1,51
0.1,2,82,4,1,52
0.1,2,83,4,1,53
0.1,2,84,4,1,54
0.1,2,85,4,1,55
0.1,2,86,4,1,56
0.1,2,87,4,1,57
0.1,2,88,4,1,58
0.1,2,89,4,1,59
0.1,2,90,4,1,60
0.1,2,91,4,1,61
0.1,2,92,4,1,62
0.1,2,93,2,0,62
0.1,2,94,3,0,62
0.1,2,95,4,1,63
0.1,2,96,4,1,64
0.1,2,97,4,1,65
0.1,2,98,4,1,66
0.1,2,99,4,1,67
0.1,2,100,4,0,67
0.1,2,101,4,1,68
0.1,2,102,4,1,69
0.1,2,103,4,1,70
0.1,2,104,4,1,71
0.1,2,105,4,1,72
0.1,2,106,4,1,73
0.1,2,107,4,1,74
0.1,2,108,4,1,75
0.1,2,109,4,1,76
0.1,2,110,4,1,77
0.1,2,111,4,0,77
0.1,2,112,0,0,77
0.1,2,113,1,0,77
0.1,2,114,4,1,78
0.1,2,115,4,1,79
0.1,2,116,4,1,80
0.1,2,117,4,1,81
0.1,2,118,4,0,81
0.1,2,119,4,0,81
0.1,2,120,2,0,81
0.1,2,121,3,0,81
0.1,2,122,4,1,82
0.1,2,123,4,1,83
0.1,2,124,4,1,84
0.1,2,125,4,1,85
0.1,2,126,4,1,86
0.1,2,127,4,1,87
0.1,2,128,4,1,88
0.1,2,129,4,1,89
0.1,2,130,4,1,90
0.1,2,131,4,1,91
0.1,2,132,4,1,92
0.1,2,133,4,0,92
0.1,2,134,4,1,93
0.1,2,135,4,1,94
0.1,2,136,4,0,94
0.1,2,137,4,1,95
0.1,2,138,4,1,96
0.1,2,139,4,0,96
0.1,2,140,0,0,96
0.1,2,141,1,0,96
0.1,2,142,4,1,97
0.1,2,143,4,1,98
0.1,2,144,4,1,99
0.1,2,145,4,1,100
0.1,2,146,4,0,100
0.1,2,147,4,1,101
0.1,2,148,4,1,102
0.1,2,149,4,1,103
0.1,2,150,4,1,104
0.1,2,151,4,1,105
0.1,2,152,4,0,105
0.1,2,153,2,0,105
0.1,2,154,3,0,105
0.1,2,155,4,1,106
0.1,2,156,4,1,107
0.1,2,157,4,1,108
0.1,2,158,4,1,109
0.1,2,159,4,1,110
0.1,2,160,4,1,111
0.1,2,161,4,1,112
0.1,2,162,4,1,113
0.1,2,163,4,1,114
0.1,2,164,4,1,115
0.1,2,165,4,1,116
0.1,2,166,4,1,117
0.1,2,167,4,1,118
0.1,2,168,4,1,119
0.1,2,169,4,1,120
0.1,2,170,4,1,121
0.1,2,171,4,1,122
0.1,2,172,4,1,123
0.1,2,173,4,1,124
0.1,2,174,4,1,125
0.1,2,175,4,1,126
0.1,2,176,4,1,127
0.1,2,177,4,1,128
0.1,2,178,4,1,129
0.1,2,179,4,1,130
0.1,2,180,4,1,131
0.1,2,181,4,1,132
0.1,2,182,4,1,133
0.1,2,183,4,1,134
0.1,2,184,4,1,135
0.1,2,185,4,1,136
0.1,2,186,4,1,137
0.1,2,187,4,1,138
0.1,2,188,4,1,139
0.1,2,189,4,1,140
0.1,2,190,4,1,141
0.1,2,191,4,0,141
0.1,2,192,4,1,142
0.1,2,193,4,1,143
0.1,2,194,4,1,144
0.1,2,195,4,1,145
0.1,2,196,4,1,146
0.1,2,197,4,1,147
0.1,2,198,4,1,148
0.1,2,199,4,1,149
0.1,2,200,4,1,150
0.1,2,201,4,1,151
0.1,2,202,4,1,152
0.1,2,203,4,1,153
0.1,2,204,4,1,154
0.1,2,205,4,1,155
0.1,2,206,4,1,156
0.1,2,207,4,1,157
0.1,2,208,4,1,158
0.1,2,209,4,1,159
0.1,2,210,4,0,159
0.1,2,211,0,0,159
0.1,2,212,1,0,159
0.1,2,213,4,1,160
0.1,2,214,4,1,161
0.1,2,215,4,1,162
0.1,2,216,4,1,163
0.1,2,217,4,1,164
0.1,2,218,4,1,165
0.1,2,219,4,1,166
0.1,2,220,4,1,167
0.1,2,221,4,1,168
0.1,2,222,4,1,169
0.1,2,223,4,0,169
0.1,2,224,4,1,170
0.1,2,225,4,1,171
0.1,2,226,4,1,172
0.1,2,227,4,1,173
0.1,2,228,4,1,174
0.1,2,229,4,1,175
0.1,2,230,4,1,176
0.1,2,231,4,1,177
0.1,2,232,4,1,178
0.1,2,233,4,1,179
0.1,2,234,4,1,180
0.1,2,235,2,0,180
0.1,2,236,3,0,180
0.1,2,237,4,0,180
0.1,2,238,4,1,181
0.1,2,239,4,1,182
0.1,2,240,4,1,183
0.1,2,241,4,1,184
0.1,2,242,4,1,185
0.1,2,243,4,1,186
0.1,2,244,4,1,187
0.1,2,245,4,1,188
0.1,2,246,4,1,189
0.1,2,247,4,1,190
0.1,2,248,4,1,191
0.1,2,249,4,0,191
0.1,2,250,4,1,192
0.1,3,1,0,0,0
0.1,3,2,1,0,0
0.1,3,3,2,0,0
0.1,3,4,3,0,0
0.1,3,5,4,1,1
0.1,3,6,4,1,2
0.1,3,7,4,1,3
0.1,3,8,4,1,4
0.1,3,9,0,0,4
0.1,3,10,1,0,4
0.1,3,11,2,0,4
0.1,3,12,3,0,4
0.1,3,13,4,1,5
0.1,3,14,4,1,6
0.1,3,15,4,1,7
0.1,3,16,4,1,8
0.1,3,17,4,1,9
0.1,3,18,4,1,10
0.1,3,19,4,1,11
0.1,3,20,4,1,12
0.1,3,21,0,1,13
0.1,3,22,0,0,13
0.1,3,23,1,0,13
0.1,3,24,2,0,13
0.1,3,25,3,0,13
0.1,3,26,4,1,14
0.1,3,27,4,1,15
0.1,3,28,4,1,16
0.1,3,29,4,1,17
0.1,3,30,4,1,18
0.1,3,31,4,0,18
0.1,3,32,4,1,19
0.1,3,33,0,0,19
0.1,3,34,4,1,20
0.1,3,35,4,1,21
0.1,3,36,1,0,21
0.1,3,37,2,0,21
0.1,3,38,3,0,21
0.1,3,39,4,1,22
0.1,3,40,4,1,23
0.1,3,41,4,1,24
0.1,3,42,4,0,24
0.1,3,43,4,1,25
0.1,3,44,4,1,26
0.1,3,45,4,1,27
0.1,3,46,4,1,28
0.1,3,47,4,1,29
0.1,3,48,0,0,29
0.1,3,49,4,1,30
0.1,3,50,4,1,31
0.1,3,51,4,1,32
0.1,3,52,4,0,32
0.1,3,53,1,0,32
0.1,3,54,2,0,32
0.1,3,55,3,0,32
0.1,3,56,4,1,33
0.1,3,57,4,1,34
0.1,3,58,4,1,35
0.1,3,59,4,1,36
0.1,3,60,4,1,37
0.1,3,61,4,1,38
0.1,3,62,4,1,39
0.1,3,63,4,1,40
0.1,3,64,4,1,41
0.1,3,65,4,1,42
0.1,3,66,4,0,42
0.1,3,67,0,0,42
0.1,3,68,4,1,43
0.1,3,69,4,0,43
0.1,3,70,4,1,44
0.1,3,71,4,1,45
0.1,3,72,4,1,46
0.1,3,73,4,1,47
0.1,3,74,4,1,48
0.1,3,75,1,1,49
0.1,3,76,1,0,49
0.1,3,77,2,0,49
0.1,3,78,3,1,50
0.1,3,79,3,0,50
0.1,3,80,4,0,50
0.1,3,81,4,1,51
0.1,3,82,4,1,52
0.1,3,83,4,1,53
0.1,3,84,4,1,54
0.1,3,85,4,1,55
0.1,3,86,4,1,56
0.1,3,87,4,1,57
0.1,3,88,4,0,57
0.1,3,89,0,0,57
0.1,3,90,1,0,57
0.1,3,91,3,0,57
0.1,3,92,4,1,58
0.1,3,93,4,1,59
0.1,3,94,4,1,60
0.1,3,95,4,1,61
0.1,3,96,4,1,62
0.1,3,97,4,1,63
0.1,3,98,4,1,64
0.1,3,99,4,1,65
0.1,3,100,4,1,66
0.1,3,101,4,1,67
0.1,3,102,4,1,68
0.1,3,103,4,1,69
0.1,3,104,4,1,70
0.1,3,105,4,1,71
0.1,3,106,4,1,72
0.1,3,107,4,1,73
0.1,3,108,4,1,74
0.1,3,109,4,1,75
0.1,3,110,4,1,76
0.1,3,111,4,0,76
0.1,3,112,2,0,76
0.1,3,113,4,1,77
0.1,3,114,4,1,78
0.1,3,115,4,1,79
0.1,3,116,4,1,80
0.1,3,117,4,1,81
0.1,3,118,4,0,81
0.1,3,119,4,1,82
0.1,3,120,4,1,83
0.1,3,121,4,1,84
0.1,3,122,4,0,84
0.1,3,123,0,0,84
0.1,3,124,1,0,84
0.1,3,125,3,0,84
0.1,3,126,4,0,84
0.1,3,127,4,1,85
0.1,3,128,4,1,86
0.1,3,129,4,1,87
0.1,3,130,4,1,88
0.1,3,131,4,1,89
0.1,3,132,4,1,90
0.1,3,133,4,1,91
0.1,3,134,4,1,92
0.1,3,135,4,1,93
0.1,3,136,4,1,94
0.1,3,137,4,1,95
0.1,3,138,4,1,96
0.1,3,139,4,1,97
0.1,3,140,4,1,98
0.1,3,141,4,1,99
0.1,3,142,4,1,100
0.1,3,143,4,0,100
0.1,3,144,4,1,101
0.1,3,145,2,0,101
0.1,3,146,4,1,102
0.1,3,147,4,1,103
0.1,3,148,4,0,103
0.1,3,149,4,1,104
0.1,3,150,4,1,105
0.1,3,151,4,1,106
0.1,3,152,4,1,107
0.1,3,153,4,1,108
0.1,3,154,4,1,109
0.1,3,155,4,1,110
0.1,3,156,4,1,111
0.1,3,157,4,1,112
0.1,3,158,4,1,113
0.1,3,159,4,0,113
0.1,3,160,4,1,114
0.1,3,161,0,0,114
0.1,3,162,1,1,115
0.1,3,163,1,0,115
0.1,3,164,3,0,115
0.1,3,165,4,1,116
0.1,3,166,4,1,117
0.1,3,167,4,1,118
0.1,3,168,4,1,119
0.1,3,169,4,1,120
0.1,3,170,4,1,121
0.1,3,171,4,1,122
0.1,3,172,4,1,123
0.1,3,173,4,1,124
0.1,3,174,4,1,125
0.1,3,175,4,1,126
0.1,3,176,4,1,127
0.1,3,177,4,1,128
0.1,3,178,4,1,129
0.1,3,179,4,0,129
0.1,3,180,4,1,130
0.1,3,181,4,1,131
0.1,3,182,4,1,132
0.1,3,183,4,1,133
0.1,3,184,4,1,134
0.1,3,185,4,1,135
0.1,3,186,4,1,136
0.1,3,187,4,1,137
0.1,3,188,4,1,138
0.1,3,189,4,1,139
0.1,3,190,4,0,139
0.1,3,191,1,0,139
0.1,3,192,4,1,140
0.1,3,193,4,1,141
0.1,3,194,4,1,142
0.1,3,195,4,1,143
0.1,3,196,4,1,144
0.1,3,197,4,1,145
0.1,3,198,4,1,146
0.1,3,199,4,0,146
0.1,3,200,4,1,147
0.1,3,201,4,1,148
0.1,3,202,2,0,148
0.1,3,203,4,1,149
0.1,3,204,4,1,150
0.1,3,205,4,1,151
0.1,3,206,4,1,152
0.1,3,207,4,1,153
0.1,3,208,4,0,153
0.1,3,209,4,0,153
0.1,3,210,4,1,154
0.1,3,211,4,1,155
0.1,3,212,4,1,156
0.1,3,213,4,1,157
0.1,3,214,4,1,158
0.1,3,215,4,1,159
0.1,3,216,4,1,160
0.1,3,217,4,1,161
0.1,3,218,4,1,162
0.1,3,219,4,0,162
0.1,3,220,0,0,162
0.1,3,221,3,0,162
0.1,3,222,4,1,163
0.1,3,223,4,1,164
0.1,3,224,4,1,165
0.1,3,225,4,1,166
0.1,3,226,4,1,167
0.1,3,227,4,1,168
0.1,3,228,4,1,169
0.1,3,229,4,1,170
0.1,3,230,4,1,171
0.1,3,231,4,1,172
0.1,3,232,4,1,173
0.1,3,233,4,1,174
0.1,3,234,4,1,175
0.1,3,235,4,1,176
0.1,3,236,4,1,177
0.1,3,237,4,1,178
0.1,3,238,4,1,179
0.1,3,239,4,1,180
0.1,3,240,4,1,181
0.1,3,241,4,1,182
0.1,3,242,4,1,183
0.1,3,243,4,1,184
0.1,3,244,4,1,185
0.1,3,245,4,1,186
0.1,3,246,4,1,187
0.1,3,247,4,1,188
0.1,3,248,4,1,189
0.1,3,249,4,1,190
0.1,3,250,4,0,190
0.1,4,1,0,0,0
0.1,4,2,1,0,0
0.1,4,3,2,1,1
0.1,4,4,3,0,1
0.1,4,5,4,1,2
0.1,4,6,2,0,2
0.1,4,7,4,1,3
0.1,4,8,4,1,4
0.1,4,9,4,1,5
0.1,4,10,0,0,5
0.1,4,11,1,0,5
0.1,4,12,3,0,5
0.1,4,13,4,0,5
0.1,4,14,2,0,5
0.1,4,15,4,1,6
0.1,4,16,4,1,7
0.1,4,17,4,1,8
0.1,4,18,4,1,9
0.1,4,19,2,0,9
0.1,4,20,0,0,9
0.1,4,21,1,0,9
0.1,4,22,3,0,9
0.1,4,23,4,1,10
0.1,4,24,4,1,11
0.1,4,25,4,0,11
0.1,4,26,4,1,12
0.1,4,27,4,1,13
0.1,4,28,4,1,14
0.1,4,29,2,0,14
0.1,4,30,4,1,15
0.1,4,31,4,1,16
0.1,4,32,4,1,17
0.1,4,33,0,1,18
0.1,4,34,0,0,18
0.1,4,35,1,0,18
0.1,4,36,3,0,18
0.1,4,37,4,1,19
0.1,4,38,4,1,20
0.1,4,39,4,1,21
0.1,4,40,4,1,22
0.1,4,41,4,1,23
0.1,4,42,4,1,24
0.1,4,43,4,1,25
0.1,4,44,4,1,26
0.1,4,45,4,1,27
0.1,4,46,4,1,28
0.1,4,47,4,1,29
0.1,4,48,4,1,30
0.1,4,49,0,0,30
0.1,4,50,2,0,30
0.1,4,51,4,1,31
0.1,4,52,4,1,32
0.1,4,53,4,1,33
0.1,4,54,4,1,34
0.1,4,55,4,0,34
0.1,4,56,1,0,34
0.1,4,57,3,0,34
0.1,4,58,4,1,35
0.1,4,59,4,1,36
0.1,4,60,4,1,37
0.1,4,61,4,1,38
0.1,4,62,4,1,39
0.1,4,63,4,1,40
0.1,4,64,4,1,41
0.1,4,65,4,1,42
0.1,4,66,4,0,42
0.1,4,67,0,0,42
0.1,4,68,2,0,42
0.1,4,69,4,0,42
0.1,4,70,4,1,43
0.1,4,71,4,1,44
0.1,4,72,4,1,45
0.1,4,73,4,1,46
0.1,4,74,4,1,47
0.1,4,75,4,1,48
0.1,4,76,1,0,48
0.1,4,77,3,0,48
0.1,4,78,4,1,49
0.1,4,79,4,1,50
0.1,4,80,4,1,51
0.1,4,81,4,1,52
0.1,4,82,4,0,52
0.1,4,83,4,1,53
0.1,4,84,4,0,53
0.1,4,85,4,1,54
0.1,4,86,0,0,54
0.1,4,87,2,0,54
0.1,4,88,4,1,55
0.1,4,89,4,1,56
0.1,4,90,4,1,57
0.1,4,91,4,0,57
0.1,4,92,4,1,58
0.1,4,93,4,1,59
0.1,4,94,4,1,60
0.1,4,95,4,0,60
0.1,4,96,4,1,61
0.1,4,97,4,1,62
0.1,4,98,1,1,63
0.1,4,99,1,0,63
0.1,4,100,3,0,63
0.1,4,101,4,1,64
0.1,4,102,4,1,65
0.1,4,103,4,1,66
0.1,4,104,4,0,66
0.1,4,105,4,1,67
0.1,4,106,4,1,68
0.1,4,107,4,0,68
0.1,4,108,4,1,69
0.1,4,109,0,0,69
0.1,4,110,1,0,69
0.1,4,111,2,0,69
0.1,4,112,4,1,70
0.1,4,113,4,1,71
0.1,4,114,4,1,72
0.1,4,115,4,1,73
0.1,4,116,4,1,74
0.1,4,117,4,1,75
0.1,4,118,4,1,76
0.1,4,119,4,1,77
0.1,4,120,4,1,78
0.1,4,121,4,1,79
0.1,4,122,4,1,80
0.1,4,123,4,1,81
0.1,4,124,4,1,82
0.1,4,125,4,1,83
0.1,4,126,4,1,84
0.1,4,127,4,1,85
0.1,4,128,4,1,86
0.1,4,129,4,0,86
0.1,4,130,4,0,86
0.1,4,131,4,1,87
0.1,4,132,4,1,88
0.1,4,133,4,1,89
0.1,4,134,4,1,90
0.1,4,135,4,1,91
0.1,4,136,3,1,92
0.1,4,137,3,0,92
0.1,4,138,4,1,93
0.1,4,139,4,1,94
0.1,4,140,4,1,95
0.1,4,141,4,1,96
0.1,4,142,4,1,97
0.1,4,143,4,1,98
0.1,4,144,4,1,99
0.1,4,145,4,1,100
0.1,4,146,4,1,101
0.1,4,147,4,1,102
0.1,4,148,4,1,103
0.1,4,149,4,1,104
0.1,4,150,4,1,105
0.1,4,151,4,1,106
0.1,4,152,4,1,107
0.1,4,153,4,1,108
0.1,4,154,4,1,109
0.1,4,155,4,1,110
0.1,4,156,4,1,111
0.1,4,157,4,1,112
0.1,4,158,4,1,113
0.1,4,159,4,1,114
0.1,4,160,4,1,115
0.1,4,161,4,0,115
0.1,4,162,0,0,115
0.1,4,163,1,0,115
0.1,4,164,2,1,116
0.1,4,165,2,0,116
0.1,4,166,3,0,116
0.1,4,167,4,1,117
0.1,4,168,4,1,118
0.1,4,169,4,0,118
0.1,4,170,4,1,119
0.1,4,171,4,1,120
0.1,4,172,4,1,121
0.1,4,173,4,1,122
0.1,4,174,4,0,122
0.1,4,175,4,1,123
0.1,4,176,4,1,124
0.1,4,177,4,1,125
0.1,4,178,4,1,126
0.1,4,179,4,0,126
0.1,4,180,2,0,126
0.1,4,181,4,1,127
0.1,4,182,4,0,127
0.1,4,183,4,1,128
0.1,4,184,4,1,129
0.1,4,185,4,1,130
0.1,4,186,4,1,131
0.1,4,187,4,0,131
0.1,4,188,4,1,132
0.1,4,189,4,1,133
0.1,4,190,4,1,134
0.1,4,191,4,0,134
0.1,4,192,4,1,135
0.1,4,193,4,1,136
0.1,4,194,4,1,137
0.1,4,195,4,1,138
0.1,4,196,4,0,138
0.1,4,197,0,0,138
0.1,4,198,1,0,138
0.1,4,199,3,0,138
0.1,4,200,4,1,139
0.1,4,201,4,1,140
0.1,4,202,4,1,141
0.1,4,203,4,1,142
0.1,4,204,4,1,143
0.1,4,205,4,1,144
0.1,4,206,4,1,145
0.1,4,207,4,1,146
0.1,4,208,4,1,147
0.1,4,209,4,1,148
0.1,4,210,4,1,149
0.1,4,211,4,1,150
0.1,4,212,4,1,151
0.1,4,213,4,1,152
0.1,4,214,4,1,153
0.1,4,215,4,1,154
0.1,4,216,4,1,155
0.1,4,217,4,1,156
0.1,4,218,4,1,157
0.1,4,219,4,1,158
0.1,4,220,4,0,158
0.1,4,221,4,1,159
0.1,4,222,4,1,160
0.1,4,223,4,1,161
0.1,4,224,4,1,162
0.1,4,225,4,1,163
0.1,4,226,4,1,164
0.1,4,227,4,1,165
0.1,4,228,4,1,166
0.1,4,229,4,1,167
0.1,4,230,4,1,168
0.1,4,231,4,1,169
0.1,4,232,4,1,170
0.1,4,233,4,1,171
0.1,4,234,4,1,172
0.1,4,235,4,1,173
0.1,4,236,4,1,174
0.1,4,237,4,1,175
0.1,4,238,4,1,176
0.1,4,239,4,1,177
0.1,4,240,4,1,178
0.1,4,241,4,1,179
0.1,4,242,4,1,180
0.1,4,243,4,1,181
0.1,4,244,4,1,182
0.1,4,245,4,1,183
